Iteration	 training_error			 testing_error
1			 1515.8218647414276	 888.3584166360995
2			 1516.1534498670162	 888.3584166360995
3			 1506.995623615027	 913.6324326607357
4			 1499.240296392396	 884.2953908497792
5			 1489.9373531562508	 839.2226475158275
6			 1481.968277683862	 875.2972401950027
7			 1474.0641224286742	 906.7353867726467
8			 1470.110145957092	 867.832460862378
9			 1463.8301386299906	 900.8001792963839
10			 1456.4827232016955	 860.6715492585497
11			 1448.2949219695852	 856.4622885561746
12			 1440.8436017309464	 857.7284856382835
13			 1435.974814246445	 850.9198653867339
14			 1429.297661018601	 849.3573330770538
15			 1417.2425294677234	 841.1277961272093
16			 1414.3611062622656	 835.6712369800939
17			 1407.9991721452964	 831.5709064147966
18			 1403.7854589937438	 832.2828335574952
19			 1392.1849820260902	 827.6516795546603
20			 1386.3588925756765	 815.3026675906272
21			 1379.8725322762195	 812.0203908384293
22			 1377.5373090303221	 811.4390007531332
23			 1368.883530825483	 804.8621316770385
24			 1359.310750726775	 797.553249374067
25			 1352.4343336452855	 790.1011133306051
26			 1347.7715170092617	 785.922464701291
27			 1344.673451949727	 782.3912031297228
28			 1340.4824843477675	 777.6009883309351
29			 1334.7921857510014	 705.7364625844464
30			 1326.9931742087326	 713.6235602425025
31			 1322.61222828775	 714.5722856167284
32			 1316.7225198537328	 708.335456481716
33			 1307.3149564864545	 705.760982513642
34			 1300.6760880147642	 692.428184251434
35			 1294.664651079276	 693.9820642978484
36			 1285.3907463673002	 693.0978445880809
37			 1279.7480447282812	 688.4717689306282
38			 1277.1739092499097	 677.775164722347
39			 1266.4796057848264	 676.0366523327094
40			 1261.5358577771513	 662.1511343503782
41			 1260.0496788879302	 668.8101098868926
42			 1251.0267089528943	 656.3297740775732
43			 1252.1606084320506	 595.672938018285
44			 1242.231646998622	 593.3124524937632
45			 1238.4199429414803	 535.2458985232987
46			 1228.6709047711092	 532.6727218366137
47			 1225.9577322043322	 647.1364151439201
48			 1217.4123774305913	 588.1243892924637
