Iteration	 training_error			 testing_error
164			 490.2009855493172	 236.40376977792226
165			 484.0968030068679	 242.18725851306777
166			 483.03055483785494	 232.81355137325704
167			 477.2776750999039	 242.6189711866352
168			 479.0866581250376	 225.03026340676
169			 476.69721112178473	 214.23382234883968
170			 470.5857371611946	 216.17802655890276
171			 465.19194837201377	 225.23992340889058
172			 461.16191223537345	 234.81534588816575
173			 458.01185047189824	 221.08730615444372
174			 455.4557747057526	 211.8161107288983
175			 454.1655985587817	 205.10542841913983
176			 447.6949874475889	 230.29344137098443
177			 443.45120656610544	 218.8836747844251
178			 441.0102689945069	 227.45565693265942
179			 436.7848368152593	 208.16095054758458
180			 434.4638311470908	 223.80068987109837
181			 430.9716291468129	 201.14726733250404
182			 424.32023584672754	 203.09065061957924
183			 427.6072601618691	 215.65347305460088
184			 421.72077312598606	 205.41077628112967
185			 416.60198330223045	 201.6699141184444
186			 416.0141970919962	 202.6135883156643
187			 407.7555444731209	 200.40617526825125
188			 409.6386541338816	 201.627600661789
189			 406.364647741793	 197.2937104278336
190			 398.29416245559725	 180.53891616689748
191			 399.13588401172683	 186.17913600230588
192			 393.784682476581	 187.72254309384482
193			 394.7555495148687	 198.4086676786667
194			 387.9502871756356	 187.18540269032377
195			 385.7114890486122	 186.9984470923878
196			 384.3325799651605	 188.299389579206
197			 381.58990141069893	 191.29986024567035
198			 374.8123612220747	 179.1641978458213
199			 372.25995926002616	 181.79848934610072
200			 370.66928960276226	 182.79851069096753
201			 368.5254429406177	 186.1578309536719
202			 366.13703413346485	 179.7152438298666
203			 362.1850054227393	 181.55557505996583
204			 359.1528402085827	 189.83163069177934
205			 356.5029552886395	 182.341907854782
206			 353.75392235038845	 184.808867406177
207			 349.7655526606809	 180.51996623135597
208			 342.97667941973515	 187.69251613172182
209			 341.86836828554186	 166.57817247814023
210			 339.75671874580553	 168.51161411663335
211			 340.04161366397256	 172.72336604737524
212			 332.9648271216584	 167.6698059727331
213			 329.6934724250193	 159.9086034185989
214			 326.3738592814807	 165.81250746891686
215			 323.567433324156	 165.40816203794873
216			 321.7887725065817	 162.39261559608784
217			 322.75732563257037	 166.11432775019256
218			 321.4001719521268	 160.40177182001148
219			 316.81323573308623	 166.50138042276066
220			 313.69689570079305	 156.80456963333032
221			 309.52919250731765	 166.40945147055558
222			 311.13877874624893	 165.01217162680675
223			 306.9469083587843	 154.14266895469032
224			 303.0943516326192	 151.6556529507208
225			 300.0011489184799	 153.8005307171331
226			 293.25161627670195	 148.6512511234762
227			 300.08347796747387	 150.24273383587493
228			 290.65607618009227	 151.42336029365282
229			 288.3057901769482	 141.0177777184093
230			 284.5943551891823	 147.13950545575764
231			 285.37480095439247	 142.54062052060073
232			 281.0318263040783	 143.73034259207603
233			 279.592791956744	 143.62075027561175
234			 275.8715556739155	 136.55120138783568
235			 273.504796393419	 139.9268363741522
236			 273.34899061069177	 145.2832931135425
237			 266.0274712091384	 139.35871412436993
238			 271.21294003424555	 142.27078383184045
239			 266.93367436138976	 134.99533652641543
240			 262.52102344790626	 135.46926231070987
241			 261.60671175883544	 136.14598587202846
242			 256.4141381388236	 130.5783866786688
243			 249.45582700254158	 126.01325982490347
244			 249.4610831434736	 130.40162703411838
245			 247.94099569951058	 128.21988503141483
246			 249.6812547620996	 135.78978337622635
247			 245.6156814154814	 129.52057310650173
248			 242.1255234607097	 134.2703908239207
249			 235.9518046158075	 120.23790224519458
250			 231.63606569980504	 117.11582316273986
251			 230.24046059836218	 128.76278052010562
252			 237.32354894173793	 137.91418745460675
253			 234.25675974025873	 126.3427313480688
254			 230.31710668658937	 134.00915406098838
255			 230.83205464979943	 120.01793389112423
256			 227.4000064290791	 119.36503188183873
257			 227.91647676807096	 117.26617745772845
258			 219.9596215210322	 117.78844241087417
259			 223.39343510181774	 121.84504070798354
260			 219.82917548893943	 109.64541496261312
261			 217.78916061368122	 111.8959691623926
262			 213.16568478263298	 117.20739157651435
263			 212.77809902430297	 107.08527072986666
264			 208.368226529256	 114.61487906601616
265			 208.0194690664901	 108.7102297765522
266			 205.95321235818435	 106.82274905061453
267			 205.59363520762616	 105.59177615558477
268			 201.11779261054278	 104.00553030953371
269			 199.38318347993052	 105.61344175533615
270			 193.94244137849392	 104.2154794821626
271			 189.2291581025323	 100.70764395494233
272			 191.71708019804433	 103.75580554573371
273			 188.2562017549636	 92.93400041839861
274			 187.95166224521373	 98.5877452706256
275			 184.2364116020846	 97.12968021870124
276			 186.27264124678294	 100.27990773209987
277			 189.31805211011925	 100.19262836270636
278			 187.83559784356947	 100.59504645915068
279			 183.66202643812827	 91.00256071829148
280			 181.48592061172016	 92.21164094452897
281			 176.17738468683734	 94.24512569855075
282			 175.35836621807917	 92.10521594822897
283			 173.27002975809114	 95.77687291328246
284			 170.55223879219943	 93.19625208156407
285			 169.36322421956908	 89.44712858060583
286			 166.0883958881981	 93.73512294721043
287			 165.5039021386849	 86.36733149226777
288			 161.67412788523407	 82.19189887040389
289			 158.7724564941803	 84.27613823090022
290			 158.1545595818866	 90.10037712037692
291			 157.7407831401877	 84.54809699333403
292			 155.9007008142503	 79.03781571725233
293			 153.53849085855745	 81.49570409510463
294			 153.01871577929924	 79.63319032554247
295			 149.99167016243274	 82.00809665254839
296			 149.19951351986248	 80.55509297188519
297			 147.70264920294338	 77.75626351006093
298			 147.2734470951789	 77.61816098474169
299			 145.32276709060037	 77.50874310891639
300			 143.80592895665893	 75.64133735951887
301			 144.30393150565132	 79.08406991419429
302			 140.75019043252342	 75.50874243431389
303			 140.0732197004091	 73.80780240400611
304			 137.84892440633945	 71.96082006471997
305			 135.62273992446038	 69.96144805915529
306			 134.48821824158875	 71.35603270350244
307			 134.77137588623597	 73.59549281966312
308			 132.2281888621492	 73.89855782212454
309			 131.88771356175673	 71.42845574717903
310			 129.13989254979694	 66.9600490105532
311			 128.8013270216893	 69.13708868032664
312			 128.66879958098835	 67.35693984342721
313			 126.42357795448324	 68.60048929200188
314			 124.03930787604281	 66.24761491344248
315			 120.46397872471735	 64.12890803167507
316			 120.88330438318343	 62.88427670077345
317			 121.08713007678956	 65.56180273777699
318			 120.12889631028864	 63.55760382290282
319			 116.80264056663552	 61.6908674210531
320			 115.92016619172082	 61.094370956285964
321			 115.57210374057313	 63.834472813855015
322			 114.72989840515575	 62.68379884929278
323			 114.16352165524069	 59.40809139636439
324			 112.04738523500727	 60.140694658007064
325			 111.93203522285232	 59.02633542327208
326			 111.81778637979824	 60.595768612771224
327			 108.4732317251773	 56.48292935990133
328			 108.34475359843812	 57.69903862180604
329			 107.4350176253594	 55.334772389853576
330			 106.053378560825	 54.455413835263286
331			 104.7961885041015	 55.062034686498926
332			 104.3299019526959	 52.51211366043564
333			 103.20638925960445	 52.72284463320532
334			 102.85193452800755	 53.73391352372247
335			 101.93729995949064	 52.1235795942003
336			 100.72954470176397	 53.45755743443898
337			 98.58575960390407	 52.45252390602229
338			 97.64300751682885	 50.44017478056763
339			 96.86730688510417	 50.02897547199153
340			 95.32529084768363	 49.55273739710022
341			 93.09683191364829	 47.90577528705454
342			 92.47867891533187	 47.435455094558165
343			 91.04962422846809	 47.10817157639166
344			 90.32288826664178	 47.560951764095
345			 88.44317258741762	 45.191493125365795
346			 88.56248027723632	 47.18720474427775
347			 87.29159138985239	 45.561116461100966
348			 87.88869139938127	 46.914879240553255
349			 86.505418983051	 46.89891421685019
350			 85.90304526939353	 46.6029551878345
351			 85.64539217301557	 44.577909147119804
352			 84.27968592213513	 44.08035017047226
353			 83.4749963871947	 43.620335312741695
354			 81.75429883641169	 43.693785470278
355			 81.11972410776785	 42.3623143154954
356			 79.63995898789803	 41.83414170411831
357			 78.82660749301753	 41.006544419015505
358			 78.43446930265416	 41.33656610517651
359			 78.02723129544071	 40.57359079284339
360			 76.763758274265	 39.41660414267789
361			 75.2362695735921	 39.2319001763285
362			 74.88772598931905	 39.36522816178487
363			 74.44332465634714	 38.625174856234345
364			 73.16720465372188	 38.5499771588874
365			 72.13947577039183	 37.57689317459624
366			 72.40726228255336	 38.648248766828985
367			 70.77127682499226	 37.2788453143138
368			 70.56693952553842	 36.24050738945888
369			 69.05269802992262	 36.59872392745573
370			 68.60166534903158	 35.852810831919605
371			 67.95862630959857	 35.36085379209024
372			 67.09044077702555	 35.30648020734604
373			 66.1897525907258	 34.70089287853741
374			 66.65352955873418	 34.74087469614746
375			 65.28345780796546	 34.23060236491136
376			 64.29476991238828	 32.66424488226081
377			 62.87907872301787	 32.727388595935324
378			 62.67325262937179	 32.860144126930855
379			 62.592397709550035	 32.48669432133526
380			 61.49340809621936	 31.37737772300981
381			 60.387585364593605	 31.516198518746624
382			 59.54667253752497	 31.7129447008597
383			 59.429474215432755	 30.478574309282834
384			 58.759740010776724	 30.47399793409028
385			 57.78451589508841	 30.112716611077563
386			 57.05905395477901	 29.811381626171173
387			 56.684462910513304	 29.571841037549948
388			 56.03723914814182	 29.372402163358327
389			 55.75006128849773	 28.790151510419438
390			 55.04725880176152	 28.21132672125556
391			 53.919666878777875	 28.53639438349727
392			 53.732620706238905	 27.665020277844167
393			 53.00695610317478	 27.736277753550954
394			 52.514454479121305	 27.903758827503427
395			 51.676332399466595	 27.10874827235653
396			 51.0961296522233	 27.009858464274828
397			 51.04012650110644	 26.35031885589622
398			 50.9044870431623	 26.63552903623165
399			 49.94191449491732	 26.045263131044155
400			 49.548729286894925	 25.960309750041105
401			 48.85661152029581	 25.472813082248937
402			 48.32110926384575	 25.46309706459587
403			 47.85392015354034	 25.26944185814917
404			 47.65852584110903	 25.169102287637113
405			 47.2876779051136	 24.954490966022526
406			 46.80827466506192	 24.508863846876437
407			 46.46761768499816	 24.679632664420296
408			 45.741595099928816	 24.492038658433554
409			 45.27393829113268	 23.912333424720337
410			 44.56313549021705	 23.792898364529666
411			 44.25540694673821	 23.65085241547063
412			 43.560092731011416	 23.141717778752636
413			 43.151752751918124	 23.041761669886586
414			 42.844459759558944	 22.518050006427227
415			 42.33854866252097	 22.53457260449581
416			 42.13010394485939	 22.197702054780844
417			 41.65519536665703	 22.263103842359605
418			 41.02331999992498	 21.687566126675975
419			 40.64886824948431	 21.61981523657911
420			 40.29010915817546	 21.56554346863937
421			 39.88674190693656	 21.395470526639397
422			 39.50062001087352	 21.389431772747166
423			 39.12933855924365	 20.94641058409793
424			 38.99145351715979	 20.834579324265043
425			 38.31853917428635	 20.5643570880331
426			 38.23492986223054	 20.425914539112497
427			 37.34715703894572	 20.08143076136772
428			 36.84274945704705	 19.829075495464622
429			 36.60169674088426	 19.57216384053098
430			 36.37568912069117	 19.27420904401096
431			 35.93523724386548	 19.228048554148693
432			 35.25425234963467	 18.757912839388826
433			 34.994435354981654	 18.804165904054624
434			 34.68328736478946	 18.52115649963896
435			 34.27342066766392	 18.438283436201466
436			 33.993873493899244	 18.273379509869077
437			 33.74870307719097	 18.079478722272302
438			 33.20066522559221	 17.888028623912827
439			 32.9066072686187	 17.729193365145406
440			 32.56883413712878	 17.487729417904426
441			 32.18794303196785	 17.13840798430984
442			 31.647280971736315	 17.07470778437369
443			 31.53025905950406	 16.85959387387163
444			 31.06795190208894	 16.76572919336283
445			 30.451971068671174	 16.51671059799071
446			 30.245500438569024	 16.415665507994905
447			 29.86937339847175	 16.232325614569437
448			 29.787620245784318	 16.133696904844538
449			 29.317564988112142	 15.930220669404262
450			 29.11472315060267	 15.76637786779437
451			 28.8691340922934	 15.348450531074644
452			 28.62866847273581	 15.487070196668313
453			 28.334157574929435	 15.318715788047433
454			 27.97180052515115	 14.982594056872566
455			 27.66494326503461	 14.880619385685982
456			 27.360936113372436	 14.71924932567235
457			 27.16614523926467	 14.857194661751844
458			 26.786976899726312	 14.44357166130472
459			 26.516908038795112	 14.414879461058034
460			 26.218514377750733	 14.387664994537856
461			 25.935859602424014	 14.061459040599916
462			 25.84913871033024	 13.992507268989787
463			 25.450993624289318	 13.65180591957151
464			 25.17124397622986	 13.619523693669187
465			 24.94331899976436	 13.493238260144482
466			 24.660422521596825	 13.350156118918177
467			 24.432206127508277	 13.29052017455558
468			 24.152561456145463	 13.346112645325048
469			 23.966508895777785	 13.099517500746819
470			 23.56430515377206	 12.942245595760324
471			 23.391776506150496	 12.831731565751213
472			 23.101512944316134	 12.733819819951835
473			 23.008662034279062	 12.59455361514335
474			 22.65054874598364	 12.426134441464361
475			 22.42210883205578	 12.39704178847667
476			 22.278115644656	 12.227998217865663
477			 22.059189124040945	 12.127982972150772
478			 21.769557908959225	 12.069959058090788
479			 21.52956366044403	 11.957578044212825
480			 21.329691320409296	 11.818537307941758
481			 21.135240314147833	 11.605075786240128
482			 20.906378671711106	 11.550734194288511
483			 20.67959380538683	 11.479232818111493
484			 20.487204418391194	 11.388799295697016
485			 20.367259129508483	 11.31327221823998
486			 20.087198920365598	 11.238962916122802
487			 19.950537013234477	 11.164099987696552
488			 19.670530766126298	 11.003943403519685
489			 19.412504408981142	 10.913301639705073
490			 19.272720224598345	 10.799563634646171
491			 19.03928781803496	 10.684354530186056
492			 18.88283535113938	 10.616231417622611
493			 18.652573630393285	 10.499430431323105
494			 18.49613297934895	 10.441658199582548
495			 18.330634371442713	 10.378246936911754
496			 18.12423020227219	 10.342259725296227
497			 17.88824467309034	 10.207280478620419
498			 17.648181130100944	 10.044029041793994
499			 17.5028059823523	 9.940871197299789
500			 17.38734434402625	 9.957547360455054
