Iteration	 training_error			 testing_error
1			 1440.8286546917452	 850.7239720373003
2			 1441.4004832382404	 850.7239720373003
3			 1435.4734862363816	 843.6912634883715
4			 1426.5833933809372	 842.8095928688284
5			 1414.654493924732	 677.040332471638
6			 1405.867737407434	 823.1342471790049
7			 1398.8603704021953	 819.6598619597029
8			 1387.93088733994	 695.7709315411022
9			 1379.6492757074734	 734.0865732936575
10			 1375.8222107278953	 724.9676995794601
11			 1364.8451295108155	 720.2643425160207
12			 1356.2375577840637	 716.1132564948547
13			 1349.0617385359617	 714.5816236956227
14			 1337.7933578648078	 708.2322035438921
15			 1327.2810607579368	 703.2803572475535
16			 1320.0997379657813	 698.15237599352
17			 1308.864612653434	 597.1591812302879
18			 1305.7674241878876	 651.1824693205025
19			 1296.3540753821776	 583.505430582597
20			 1287.9005843363796	 635.1410490899984
21			 1279.7002789662388	 625.4129833667004
22			 1268.9710470560492	 619.8242652542042
23			 1261.559344609593	 606.5604455863861
24			 1256.4181350424624	 604.2880589798065
25			 1245.147881856335	 598.9964040094671
26			 1238.8077894545083	 572.6330638689019
27			 1234.052880211903	 563.7316328545271
28			 1222.227678694335	 554.1106816524922
29			 1213.8355302658358	 557.9089495102711
30			 1206.2403792412151	 544.5540471513709
31			 1201.362027705867	 554.7209867739405
32			 1193.7665049483824	 608.0619578593937
33			 1183.7251460954299	 533.2944841200799
34			 1180.3780981108046	 530.815118389774
35			 1168.6909134513169	 589.6136154636516
36			 1163.8786522272967	 519.977303806415
37			 1152.2008250550145	 579.5041386538073
38			 1147.9524379873696	 573.092340110561
39			 1140.962702102297	 565.2400749674455
40			 1128.452534495841	 558.579632307093
41			 1128.307633477921	 556.4138257762692
42			 1120.3868373508722	 503.4393580013872
43			 1112.8533958182625	 542.5315464644921
44			 1108.67453046544	 558.1604663554834
45			 1099.5896526195488	 489.8828410940726
46			 1087.9568701925878	 545.2896556018558
47			 1086.5975928208159	 477.10511915487257
48			 1078.3908210784518	 536.9255217826247
49			 1072.2223169064862	 534.0922573773146
50			 1063.6126581295678	 483.38126683020164
51			 1060.671165451481	 482.46546966319545
52			 1048.3249407712035	 479.08462576590847
53			 1046.4870123601916	 546.110206465952
54			 1043.2496917551932	 515.5546668340387
55			 1032.070395984654	 537.3738448220604
56			 1023.7338177268963	 471.86316282565105
57			 1016.5718703964161	 507.2231736465599
58			 1011.3386374657864	 488.3721652337304
59			 1007.1736678554861	 500.9806091491493
60			 999.9718771358421	 506.55044416298773
61			 991.1506148137187	 508.89653233200437
62			 981.4708235689088	 490.2907584052463
63			 978.3306810225812	 440.7463784801732
64			 974.9302490533231	 437.1336787929388
65			 968.5176618186019	 434.08761909937357
66			 961.9526148128103	 430.2041154215725
67			 953.1779300276462	 457.89513352334825
68			 947.9487281194317	 416.56763506572145
69			 939.2915132793653	 438.0271089862507
70			 935.69799646396	 430.98108473325266
71			 930.9065768847854	 427.4907005369264
72			 925.632510744559	 425.20143811108005
73			 918.6850783368062	 420.5189410110566
74			 915.9671651758051	 431.1543743946556
75			 904.4599568130214	 426.57123699193187
76			 903.6682062532104	 460.2114299768739
77			 896.884336129717	 456.6564515770318
78			 888.9247562130387	 426.79410372578985
79			 885.4656635755146	 451.9417236300058
80			 874.7717866052205	 407.86888820995665
81			 868.1399418663041	 432.86237822371675
82			 863.5133173087844	 446.25499474716094
83			 860.9502961226698	 448.06536025659767
84			 855.9002312501849	 387.24242060871825
85			 853.2155778466384	 381.29237787217323
86			 841.7372217856804	 396.4879173111165
87			 835.5681686921881	 400.1133606754829
88			 836.448098755556	 400.46918597078525
89			 823.0471010970509	 406.6208660012917
90			 821.7214762609669	 399.50146122055855
91			 815.513874455019	 388.7769672464888
92			 813.7317624021548	 370.91681614594086
93			 808.2086622472466	 384.2825253095466
94			 799.3211671619695	 398.84245845081654
95			 792.8011031612547	 362.9573785084406
96			 787.5892838538475	 415.92540115147017
97			 782.7216638843477	 374.3230956685267
98			 776.2509129359082	 364.72956712597886
99			 776.3136153030198	 358.5484092776194
100			 767.9442099474827	 384.1621815725574
101			 764.4922221905658	 415.0116198962994
102			 756.9749867440116	 378.31649301789906
103			 753.5285888423656	 354.2065952060968
104			 745.3776730093939	 346.22061971849257
105			 739.8995072900058	 372.52006675745736
106			 735.2286380340904	 373.7974043532836
107			 731.571107236395	 402.1305104756639
108			 729.9175574812057	 393.1017521004264
109			 724.1334749141971	 382.0676854109578
110			 717.0025963865854	 353.2354069712676
111			 713.067867516264	 353.33510707354486
112			 705.6467439990618	 354.26369562519466
113			 703.1053947822238	 348.5938955926158
114			 699.1845220491066	 338.71257926620456
115			 692.551905980375	 346.41593312750666
116			 687.3553752082245	 346.2789054776799
117			 684.5004590936238	 331.10102449903206
118			 681.4509148676831	 320.3096568406257
119			 677.2647438179066	 357.6868586764524
120			 673.0130733423476	 342.6438410343373
121			 663.8529591896202	 333.08281208149623
122			 660.8921834315375	 364.3950679283159
123			 654.308102273145	 331.53038578979255
124			 653.2432297050417	 315.0358880104787
125			 649.6493830575821	 307.7652992340579
126			 642.9190331621086	 331.97889758433547
127			 636.6367882353117	 326.36128304302633
128			 639.2310728578435	 280.79559275239615
129			 634.4057780263021	 301.5440758721057
130			 624.6341110771156	 307.4632202806401
131			 621.9724482080607	 289.68030255762625
132			 617.4749878255338	 319.81831676381285
133			 613.4159333846657	 321.0139554799627
134			 608.6929817361112	 327.67079170142443
135			 604.7051041609326	 282.7418039813233
136			 602.6690500631946	 283.4762026889077
137			 599.9401508746432	 280.2152204325666
138			 595.7253139798378	 273.6033701099809
139			 589.6099264273602	 276.5921745354056
140			 584.5975859153385	 278.67277315611284
141			 582.7080351201805	 293.344271120468
142			 576.6929945325111	 279.963547657094
143			 571.646094713269	 280.5687561303628
144			 568.789366806497	 272.29542421999884
145			 563.1313170896414	 281.1561714858249
146			 556.2524104957391	 271.8714021903819
147			 554.7741073700107	 281.3171947941273
148			 554.2858332855417	 284.79006301716305
149			 549.6447846726935	 266.3414478000129
150			 546.7955846615024	 259.53460226383436
151			 542.0940686391212	 281.21133914037415
152			 536.9250851155223	 277.0660426819823
153			 535.5322268074106	 274.41706290563144
154			 529.1382974731495	 242.93542230428537
155			 530.574621715891	 255.02082833268173
156			 521.2731431751321	 253.41767271829835
157			 511.7491012110599	 254.20691516928113
158			 512.4610453074604	 258.5681890852346
159			 511.86908577652804	 235.4073457047145
160			 508.1350393828705	 225.51596303184078
161			 502.35140999946327	 267.48209427656184
162			 497.72362398314635	 251.55154987014996
163			 491.2753016331845	 239.42333748390092
